seed,lr,lam_att,best_epoch,val_P,val_R,val_F1,val_attn_iou
14,0.0005,1.0,145,0.7848101265822784,0.8857142857142857,0.8322147651006712,0.7184019617860428
14,0.0005,3,125,0.8970588235294118,0.8714285714285714,0.8840579710144928,0.8109403074465962
14,0.0005,5,150,0.8205128205128205,0.9142857142857143,0.8648648648648648,0.8145914983418752
14,0.0005,7,130,0.6530612244897959,0.9142857142857143,0.7619047619047618,0.8012465373961218
14,0.0005,10,140,0.7837837837837838,0.8285714285714286,0.8055555555555555,0.8087318087318087
14,0.001,0.1,120,0.7926829268292683,0.9285714285714286,0.855263157894737,0.5329927260131625
14,0.001,0.3,125,0.8181818181818182,0.9,0.8571428571428572,0.6738875878220141
14,0.001,0.5,130,0.7752808988764045,0.9857142857142858,0.8679245283018868,0.7402320185614849
14,0.001,0.7,150,0.8732394366197183,0.8857142857142857,0.8794326241134751,0.7324872097599371
14,0.001,1.0,125,0.8461538461538461,0.9428571428571428,0.8918918918918919,0.7733980390214915
14,0.001,3,85,0.7875,0.9,0.84,0.7582459124846422
14,0.001,5,125,0.7441860465116279,0.9142857142857143,0.8205128205128205,0.8223107569721115
14,0.001,7,130,0.7560975609756098,0.8857142857142857,0.8157894736842105,0.6697002141327623
14,0.001,10,150,0.775,0.8857142857142857,0.8266666666666667,0.8177311169437154
15,0.0002,0.1,150,0.7578947368421053,0.8674698795180723,0.8089887640449439,0.5456403269754768
15,0.0002,0.3,140,0.7835051546391752,0.9156626506024096,0.8444444444444443,0.627129895994689
15,0.0002,0.5,125,0.7777777777777778,0.8433734939759037,0.8092485549132947,0.6558377848032269
15,0.0002,0.7,145,0.74,0.891566265060241,0.8087431693989071,0.742816091954023
15,0.0002,1.0,90,0.7692307692307693,0.8433734939759037,0.8045977011494253,0.5303997312730937
15,0.0002,3,130,0.7752808988764045,0.8313253012048193,0.8023255813953489,0.7164990172274252
15,0.0002,5,135,0.75,0.9397590361445783,0.8342245989304812,0.8318077803203662
15,0.0002,7,110,0.7419354838709677,0.8313253012048193,0.7840909090909092,0.7856075410966777
15,0.0002,10,140,0.73,0.8795180722891566,0.7978142076502732,0.7785722265668641
15,0.0005,0.1,95,0.8421052631578947,0.963855421686747,0.898876404494382,0.5332180282836504
15,0.0005,0.3,150,0.8461538461538461,0.927710843373494,0.8850574712643677,0.7825906305183339
15,0.0005,0.5,145,0.8041237113402062,0.9397590361445783,0.8666666666666667,0.8405879027699266
15,0.0005,0.7,110,0.9166666666666666,0.927710843373494,0.9221556886227544,0.765162037037037
15,0.0005,1.0,125,0.8876404494382022,0.9518072289156626,0.9186046511627907,0.7682403433476395
15,0.0005,3,75,0.8617021276595744,0.9759036144578314,0.9152542372881356,0.7949076063601204
15,0.0005,5,115,0.7663551401869159,0.9879518072289156,0.8631578947368421,0.7578923200551028
15,0.0005,7,110,0.8681318681318682,0.9518072289156626,0.9080459770114944,0.8801146131805158
15,0.0005,10,135,0.8977272727272727,0.9518072289156626,0.9239766081871345,0.9131903985085061
15,0.001,0.1,50,0.8658536585365854,0.8554216867469879,0.8606060606060606,0.39893517653652155
15,0.001,0.3,65,0.7872340425531915,0.891566265060241,0.8361581920903955,0.5020857845758905
15,0.001,0.5,145,0.7857142857142857,0.927710843373494,0.850828729281768,0.8031879566083684
15,0.001,0.7,150,0.7572815533980582,0.9397590361445783,0.8387096774193548,0.7713754646840149
15,0.001,1.0,65,0.8275862068965517,0.8674698795180723,0.8470588235294118,0.5967540574282147
15,0.001,3,65,0.8111111111111111,0.8795180722891566,0.8439306358381503,0.6158636512618814
15,0.001,5,145,0.7669902912621359,0.9518072289156626,0.8494623655913979,0.8843219856541045
15,0.001,7,130,0.75,0.9036144578313253,0.8196721311475409,0.9057979400532346
15,0.001,10,125,0.8651685393258427,0.927710843373494,0.8953488372093023,0.8986025712688653
16,0.0002,0.1,140,0.7065217391304348,0.8227848101265823,0.7602339181286549,0.5327860646711382
16,0.0002,0.3,135,0.7073170731707317,0.7341772151898734,0.7204968944099378,0.629049945169973
16,0.0002,0.5,130,0.7126436781609196,0.7848101265822784,0.746987951807229,0.6594944641738041
16,0.0002,0.7,90,0.821917808219178,0.759493670886076,0.7894736842105263,0.5473525613430908
16,0.0002,1.0,140,0.7011494252873564,0.7721518987341772,0.7349397590361445,0.7379848229342327
16,0.0002,3,105,0.7111111111111111,0.810126582278481,0.757396449704142,0.7486080470637672
16,0.0002,5,135,0.7564102564102564,0.7468354430379747,0.751592356687898,0.7989647158250581
16,0.0002,7,140,0.7283950617283951,0.7468354430379747,0.7374999999999999,0.7286821705426356
